Roll,pitch,yaw
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
357.75,2.5,-17.25
357.75,2.5,-17.25
357.12,3.5,-24.562
357.12,3.5,-24.562
357.12,3.5,-24.562
356.5,5.625,-35.063
356.5,5.625,-35.063
355.94,7.187,-39.875
355.94,7.187,-39.875
355.44,9.563,-45.25
355.44,9.563,-45.25
355.37,10.938,-49.063
355.37,10.938,-49.063
355.62,11.813,-53.5
355.62,11.813,-53.5
355.69,11.125,-54.688
355.69,11.125,-54.688
355.69,9.938,-57.438
356.06,9.938,-57.438
356.06,9.938,-57.438
356.56,9.625,-59.813
356.56,9.625,-59.813
356.87,8.875,-61.438
356.87,8.875,-61.438
356.56,8.063,-61.438
356.56,8.063,-61.438
356.0,7.187,-61.625
356.0,7.187,-61.625
355.69,6.375,-61.938
355.69,6.375,-61.938
355.19,3.938,-61.188
355.19,3.938,-61.188
354.69,1.625,-59.563
354.69,1.625,-59.563
353.69,-2.438,-55.125
353.69,-2.438,-55.125
352.87,-5.187,-51.063
352.87,-5.187,-51.063
352.87,-5.187,-51.063
351.44,-8.625,-44.375
351.44,-8.625,-44.375
350.56,-10.375,-39.313
350.56,-10.375,-39.313
349.69,-11.438,-33.25
349.69,-11.438,-33.25
348.37,-11.625,-23.375
348.37,-11.625,-23.375
348.37,-11.625,-23.375
347.44,-11.188,-14.75
347.44,-11.188,-14.75
347.31,-10.25,-6.937
347.31,-10.25,-6.937
347.94,-9.25,-1.75
347.94,-9.25,-1.75
347.94,-7.0,4.875
349.0,-7.0,4.875
349.0,-7.0,4.875
349.75,-4.812,8.188
349.75,-4.812,8.188
351.25,-1.125,11.5
351.25,-1.125,11.5
352.37,1.0,12.688
352.37,1.0,12.688
354.37,4.0,13.188
354.37,4.0,13.188
355.75,6.0,13.188
355.75,6.0,13.188
357.44,9.375,12.625
357.44,9.375,12.625
358.31,11.875,11.5
358.31,11.875,11.5
359.19,14.313,9.688
359.19,14.313,9.688
359.19,14.313,9.688
0.69,18.0,6.75
0.69,18.0,6.75
1.62,20.687,4.625
1.62,20.687,4.625
2.81,25.0,1.312
2.81,25.0,1.312
3.62,28.062,-1.25
3.62,28.062,-1.25
4.81,32.688,-5.437
4.81,32.688,-5.437
5.25,35.688,-7.312
5.25,35.688,-7.312
5.25,39.563,-8.813
5.94,39.563,-8.813
5.94,39.563,-8.813
6.62,41.438,-9.063
6.62,41.438,-9.063
7.44,42.813,-8.75
7.44,42.813,-8.75
8.06,42.813,-7.687
8.06,42.813,-7.687
8.94,42.5,-6.0
8.94,42.5,-6.0
11.0,41.813,-1.687
11.0,41.813,-1.687
11.0,40.875,3.188
13.75,40.875,3.188
13.75,40.875,3.188
15.31,40.25,5.125
15.31,40.25,5.125
16.94,39.813,6.812
16.94,39.813,6.812
18.0,40.0,7.875
18.0,40.0,7.875
19.87,40.688,9.438
19.87,40.688,9.438
20.87,41.125,10.125
20.87,41.125,10.125
21.94,41.688,10.813
21.94,41.688,10.813
22.5,41.938,11.0
22.5,41.938,11.0
22.5,41.938,11.0
22.87,41.688,10.75
22.87,41.0,9.438
23.12,41.0,9.438
23.12,41.0,9.438
23.25,40.813,8.5
23.25,41.0,7.812
23.56,41.0,7.812
23.56,41.875,7.25
24.37,41.875,7.25
24.37,41.875,7.25
24.87,42.75,7.5
